board_idx,uid,module,code,name,x_mm,y_mm,cut_w_mm,cut_h_mm,part_w_mm,part_h_mm,rotated,cantos
9,F_F7_1,F,F7,Estante_Bajo,1346,323,711,285,708,282,0,Canto frente
9,F_F9_1,F,F9,Estante_Fijo_Interior,2057,323,711,285,708,282,0,Canto frente
9,F_F10_1,F,F10,Estante_Sup_1,0,641,695,265,692,262,0,Canto frente
9,F_F11_1,F,F11,Estante_Sup_2,695,641,695,265,692,262,0,Canto frente
9,BB_BB5_1,BB,BB5,Soporte_Sup_Frente,1390,641,1322,103,1319,100,0,Canto frente
9,BB_BB6_1,BB,BB6,Soporte_Sup_Fondo,0,906,1322,103,1319,100,0,Sin canto
9,BA_BA5_1,BA,BA5,Soporte_Sup_Frente,1322,906,870,103,867,100,0,Canto frente
9,BB_BB15a_1,BB,BB15a,BB15_Caja_Top_Der_Lateral,2192,906,503,83,500,80,0,Sin canto
9,BA_BA9_1,BA,BA9,Frente_Falso_Sup,0,1009,895,133,892,130,0,4 cantos
9,BA_BA6_1,BA,BA6,Soporte_Sup_Fondo,895,1009,870,103,867,100,0,Sin canto
9,BB_BB8_1,BB,BB8,Frente_Top,1765,1009,673,133,670,130,0,4 cantos
9,F_F23_1,F,F23,Lateral_Der,2438,1009,267,125,122,264,1,Canto frente
9,BB_BB17b_1,BB,BB17b,BB17_Caja_Mid_Der_Frente_Trasera,0,1142,593,183,590,180,0,Sin canto
9,BB_BB17b_2,BB,BB17b,BB17_Caja_Mid_Der_Frente_Trasera,593,1142,593,183,590,180,0,Sin canto
9,BB_BB18b_1,BB,BB18b,BB18_Caja_Bot_Izq_Frente_Trasera,1186,1142,593,183,590,180,0,Sin canto
9,BB_BB18b_2,BB,BB18b,BB18_Caja_Bot_Izq_Frente_Trasera,1779,1142,593,183,590,180,0,Sin canto
9,I_I19b_1,I,I19b,I19_Cajon_Sup_Frente_Trasera,2372,1142,372,173,369,170,0,Sin canto
9,BB_BB19b_1,BB,BB19b,BB19_Caja_Bot_Der_Frente_Trasera,0,1325,593,183,590,180,0,Sin canto
9,BB_BB19b_2,BB,BB19b,BB19_Caja_Bot_Der_Frente_Trasera,593,1325,593,183,590,180,0,Sin canto
9,BB_BB16a_1,BB,BB16a,BB16_Caja_Mid_Izq_Lateral,1186,1325,503,183,500,180,0,Sin canto
9,BB_BB16a_2,BB,BB16a,BB16_Caja_Mid_Izq_Lateral,1689,1325,503,183,500,180,0,Sin canto
9,BB_BB17a_1,BB,BB17a,BB17_Caja_Mid_Der_Lateral,2192,1325,503,183,500,180,0,Sin canto
9,I_I16_1,I,I16,Frente_Cajon_Inf_Izq,0,1508,451,240,448,237,0,4 cantos
9,BB_BB17a_2,BB,BB17a,BB17_Caja_Mid_Der_Lateral,451,1508,503,183,500,180,0,Sin canto
9,BB_BB18a_1,BB,BB18a,BB18_Caja_Bot_Izq_Lateral,954,1508,503,183,500,180,0,Sin canto
9,BB_BB18a_2,BB,BB18a,BB18_Caja_Bot_Izq_Lateral,1457,1508,503,183,500,180,0,Sin canto
9,BB_BB19a_1,BB,BB19a,BB19_Caja_Bot_Der_Lateral,1960,1508,503,183,500,180,0,Sin canto
9,I_I19a_1,I,I19a,I19_Cajon_Sup_Lateral,2463,1508,328,173,325,170,0,Sin canto
9,F_F16_1,F,F16,Regrueso_Front_Estante_Sup_1,0,1748,695,53,692,50,0,Canto frente
9,F_F17_1,F,F17,Regrueso_Front_Estante_Sup_2,695,1748,695,53,692,50,0,Canto frente
9,H_H9_1,H,H9,Faja_Frontal_50,1390,1748,639,53,636,50,0,Cantos vistos
9,H_H12_1,H,H12,Faja_Frontal_Inferior_50,2029,1748,639,53,636,50,0,Cantos vistos
10,I_I21b_2,I,I21b,I21_Cajon_Inf_Frente_Trasera,0,0,372,173,369,170,0,Sin canto
10,I_I19a_2,I,I19a,I19_Cajon_Sup_Lateral,372,0,328,173,325,170,0,Sin canto
10,I_I20a_1,I,I20a,I20_Cajon_Med_Lateral,700,0,328,173,325,170,0,Sin canto
10,I_I20a_2,I,I20a,I20_Cajon_Med_Lateral,1028,0,328,173,325,170,0,Sin canto
10,I_I21a_1,I,I21a,I21_Cajon_Inf_Lateral,1356,0,328,173,325,170,0,Sin canto
10,I_I21a_2,I,I21a,I21_Cajon_Inf_Lateral,1684,0,328,173,325,170,0,Sin canto
10,BB_BB15a_2,BB,BB15a,BB15_Caja_Top_Der_Lateral,2012,0,503,83,500,80,0,Sin canto
10,H_H13_1,H,H13,Faja_Frontal_Superior_Micro_50,0,173,639,53,636,50,0,Cantos vistos
10,I_I8B_1,I,I8B,Faja_Superior_Nicho,639,173,292,53,289,50,0,Canto frente
