board_idx,uid,module,code,name,x_mm,y_mm,cut_w_mm,cut_h_mm,part_w_mm,part_h_mm,rotated,cantos
5,BB_BB15b_1,BB,BB15b,BB15_Caja_Top_Der_Frente_Trasera,2205,1643,592,63,589,60,0,Sin canto
6,BA_BA1_1,BA,BA1,Lateral_Izq,0,0,775,603,772,600,0,Canto frente
6,BA_BA2_1,BA,BA2,Lateral_Der,775,0,775,603,772,600,0,Canto frente
6,BB_BB1_1,BB,BB1,Lateral_Izq,1550,0,775,603,772,600,0,Canto frente
6,L_L11_1,L,L11,Puerta_Sup_Der,2325,0,441,438,435,438,1,4 cantos
6,BB_BB2_1,BB,BB2,Lateral_Der,0,603,775,603,772,600,0,Canto frente
6,BB_BB7_1,BB,BB7,Divisor_Central,775,603,775,603,772,600,0,Sin canto
6,I_I17_1,I,I17,Frente_Lavavajillas,1550,603,763,540,537,760,1,4 cantos
6,AB_AB1_1,AB,AB1,AB_Lateral_Izq,2313,603,458,323,455,320,0,Canto frente
6,AB_AB3_1,AB,AB3,AB_Piso,0,1206,1358,323,1355,320,0,Canto frente
6,AB_AB4_1,AB,AB4,AB_Tapa,1358,1206,1358,323,1355,320,0,Canto frente
6,L_L16_1,L,L16,Parante_Rear_Der,0,1529,2205,153,2202,150,0,Sin canto
6,BB_BB15b_2,BB,BB15b,BB15_Caja_Top_Der_Frente_Trasera,2205,1529,592,63,589,60,0,Sin canto
6,I_I9_1,I,I9,Soporte_Sup_Frente,0,1682,1507,103,1504,100,0,Canto frente
6,I_I10_1,I,I10,Soporte_Sup_Fondo,1507,1682,1077,103,1074,100,0,Sin canto
7,I_I18_1,I,I18,Puerta_Der,0,0,763,540,537,760,1,4 cantos
7,R_R3_1,R,R3,Piso,763,0,803,453,800,450,0,Canto frente
7,R_R1_1,R,R1,Lateral_Izq,1566,0,793,453,790,450,0,Canto frente
7,I_I8_1,I,I8,Estante_Nicho_Regulable,2359,0,353,291,350,288,0,Canto frente
7,H_H3_1,H,H3,Piso_Casco,0,540,675,603,672,600,0,Canto frente
7,H_H4_1,H,H4,Tapa_Casco,675,540,675,603,672,600,0,Canto frente
7,H_H7_1,H,H7,Tapa_Micro,1350,540,639,603,636,600,0,Canto frente
7,H_H8_1,H,H8,Estante_Inferior,1989,540,639,603,636,600,0,Canto frente
7,I_I6_1,I,I6,Piso_Der,0,1143,653,622,619,650,1,Canto frente
7,H_H10_1,H,H10,Puerta_Inferior,653,1143,657,615,654,612,0,4 cantos
7,H_H5_1,H,H5,Piso_Horno,1310,1143,639,585,636,582,0,Canto frente
7,H_H6_1,H,H6,Piso_Micro,1949,1143,639,585,636,582,0,Canto frente
7,BB_BB18b_2,BB,BB18b,BB18_Caja_Bot_Izq_Frente_Trasera,2588,1143,183,592,589,180,1,Sin canto
8,R_R6_1,R,R6,Estante_Regulable,0,0,763,445,760,442,0,Canto frente
8,F_F13_1,F,F13,Puerta_Mod_Der,763,0,880,372,369,877,1,4 cantos
